id,situation,intention,immoral_action,norm,gold_norm
35L9RVQFCPG0UBJ75C2T2QRRSZ1UH11,"Jennifer borrowed some money from Tammy last week, said she'd pay her back in a week  and just got her paycheck today.",Jennifer wants more money in her account.,Jennifer tells Tammy her job didn't pay her yet and to wait another week.,Its wrong to lie to people.,You should always pay people back if you owe money.
3FTOP5WARGMG5V2HV5RUPWJZN2N0JT1,Sara is approaching a roundabout while driving to work.,Sara wants to get through the roundabout.,Sara goes straight into the roundabout without slowing down or looking to her right where Bob is entering the crosswalk.,Its good to look to your right when you are approaching a roundabout.,It is important to watch for other people while driving.
35BLDD71I7VMYB81GOI5YJXF24FZVP1,Neil thinks that his wife has been flirting with one of her co-workers.,Neil wants to confront his wife.,Neil has difficulty controlling his temper and hits his wife in the face when she gets home from work.,Its wrong to hit your partner.,Is is better to speak before taking unecessary actions
30JNVC0ORAI82ICQO3IOSPU2PVDQH81,"Mike is a sports announcer, and he is calling a professional game.",Mike wants to talk about the players.,"Mike makes a comment about a black player and how he must be naturally gifted athletically, so he didn't have to work hard to go pro.",Its wrong to make racist comments.,You shouldn't judge people based on their race.
35GCEFQ6I6M2M26IWECZFO5WALB3ZM1,"Calvin left important documents for work in his friends house, and his friend is out of town.",Calvin needs to get his documents.,Calvin enters his friend's house by picking the lock and grabs his documents.,Its wrong to break into someones house.,It's illegal to break into things.
3NGI5ARFTU3CYVQXM10E0XOL2BM1PL1,Terri is talking to her friend Alice when Alice mentions she does not want to have children.,Terri wants to respond to Alice mentioning not wanting children.,Terri says that Alice will change her mind and children are for everyone.,Its good to support your friends.,It's understandable that not everyone wants to have children.
326O153BMJW2TZHJTG4Y7NQQEDOEDT1,"Tom is very drunk, and Olivia is the designated driver for their group.",Tom wants to go home.,"When Olivia drops Tom off, he just leaves the car without saying anything.",Its good to be responsible for your friends.,It is good to thank someone who drives you home.
3ZR9AIQJUC7Q2DJWSY4QJUUG4MH40N1,Julia is trying to lose weight after having a baby.,Julia wants to get some exercise.,Julia goes for a walk by herself around her neighborhood.,Its good to exercise with others.,It's good to go for a walk with your dog.
3WYGZ5XF3XDBHOSBMSAQ0HPVZMESKN1,Christine is married to an abusive husband who hits her every day after coming home from work.,Christine wants a roof over her head.,Christine continues to live with her husband in their house.,Its wrong to live with someone who is abusive.,It's ok to leave an abusive partner.
32AT8R96GM7PKKXNG6ES64YT1F5USJ1,"Greg is being bullied by a football player, and people are staring at him.",Greg has to decide whether he should do something.,"Greg doesn't know how the bully will react if he does anything, so he does nothing.",Its good to stand up for yourself.,People admire those who stand up to bullies.
39PAAFCODNYQCZZ2AWTNCVWYF6HTVL1,Lucy was mounting a campaign for the mayor's job in her town.,Lucy wanted to gauge public opinion of her candidacy.,Lucy walked around the streets for a day asking people what they thought of her.,Its wrong to ask people what they think of you.,It's good to ask people's opinions online.
3TDXMTX3CCSFOV4QFCMBMWEQO106IR1,"Andy is mentoring Susan as a scientist, and Susan has messed up an equation.",Andy wants to correct Susan's mistake.,"Andy tells Susan he's never seen such a basic mistake done before, and that it's embarrassing.",Its good to help someone out.,You should be tolerant of other's mistakes.
3S3AMIZX3V3NW1X5XPY3HZQNSRADCD1,"Phil just broke up with Alyssa, who he lived with, after finding out she cheated and after kicking her out she has yet to pick up some of her stuff.",Phil wants straighten up the place he lives in.,Phil cleans up his place by throwing most of Alyssa's stuff in the trash.,Its wrong to throw away someones stuff.,You should be respectful of your ex's belongings.
3N4BPTXIO9QRW1KFBX5QFI7JKWMUKI1,"Dave just came from overseas, and Andy sees him in his full uniform at the airport.",Andy wants to say something to Dave.,Andy asks Dave how many drones he flew at little children.,Its wrong to ask someone how many drones they flew at children.,You should appreciate veterans.
